NAMA,SUAMI,ISTRI,JENIS USAHA/PEKERJAAN,KEPEMILIKAN ASET,LUAS TEMPAT TINGGAL,JENIS DINDING,JENIS LANTAI,PENDIDIKAN,JUMLAH TANGGUNGAN,NO KARTU KELUARGA
Sulastri Baya 117,2800000,1000000,Berdagang,Ada,Sedang,Tembok,Semen,Diploma I,0,7505178795699717
Ridwan Rahim 106,3500000,1500000,Pegawai Negeri Sipil,Ada,Besar,Tembok/Beton,Keramik,Diploma I,1,7505628730227606
Ilham Monoarfa 146,4000000,2500000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Semen,SLTA/Sederajat,1,7505303926882446
Fauziah Badu 131,2500000,2500000,Karyawan Swasta,Ada,Sedang,Tembok/Beton,Semen,Diploma I,2,7505857787754631
Rahma Datau 107,3000000,500000,Karyawan Swasta,Ada,Besar,Tembok,Semen,Diploma IV/Strata I,0,7505549447829607
Nurmi Yusuf 139,2000000,500000,Transportasi,Ada,Sedang,Tembok,Keramik,Diploma I,3,7505591478265439
Fauzan Pateda 134,4000000,500000,Berdagang,Ada,Besar,Tembok/Beton,Keramik,Diploma IV/Strata I,2,7505247490565234
Rahma Monoarfa 135,2800000,1000000,Karyawan Swasta,Ada,Sedang,Tembok,Semen,Diploma I,0,7505702129474435
Fatmawati Kadir 121,2200000,500000,Karyawan Swasta,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,0,7505789718144421
Arman Botutihe 030,300000,0,IRT,Tidak ada,Sangat kecil,Tembok,Semen,SLTA/Sederajat,3,7505855549703230
Ismail Dau 044,750000,200000,Berdagang,Tidak ada,Sedang,Bilik Bambu/Kayu,Tanah,Belum Tamat SD,5,7505579729574944
Melati Lamusu 109,2800000,1000000,Berdagang,Ada,Sedang,Tembok,Keramik,Diploma IV/Strata I,2,7505493528904309
Marlina Tahir 091,5000000,750000,Bekerja,Ada,Besar,Tembok/Beton,Keramik,Diploma I,2,7505875115329491
Nurmila Monoarfa 101,2000000,2000000,Karyawan Swasta,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,0,7505768476428001
Nurmila Baya 081,3500000,2000000,Pegawai Negeri Sipil,Ada,Besar,Tembok/Beton,Semen,Diploma I,0,7505148035658181
Aminah Dau 039,500000,500000,Nelayan,Tidak ada,Sangat kecil,Semi,Tanah,SLTA/Sederajat,7,7505225026694339
Deni Badu 028,900000,300000,Transportasi,Tidak ada,Sedang,Semi,Semen,SLTP/Sederajat,3,7505202310962628
Hajira Daud 053,1000000,750000,Bekerja,Tidak ada,Sedang,Bilik Bambu/Kayu,Keramik,Tamat SD,6,7505343186154853
Fauziah Pateda 019,500000,350000,IRT,Tidak ada,Kecil,Tembok,Semen,SLTA/Sederajat,5,7505373938840519
Siti Mohamad 057,1000000,500000,Berdagang,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,SLTP/Sederajat,6,7505567077690957
Nurhayati Kadir 063,500000,200000,Nelayan,Tidak ada,Sangat kecil,Semi,Semen,SLTP/Sederajat,3,7505809673398463
Rahma Yusuf 105,2000000,500000,Wiraswasta,Ada,Besar,Tembok/Beton,Keramik,Diploma IV/Strata I,2,7505874841476005
Jamal Rahim 142,2500000,2000000,Berdagang,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,3,7505822533415742
Nurmila Mokodongan 075,1000000,750000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Tanah,SLTP/Sederajat,7,7505304341956875
Hasan Dau 040,750000,200000,IRT,Tidak ada,Kecil,Tembok,Semen,Belum Tamat SD,7,7505964323333340
Hasan Botutihe 084,2000000,1000000,Wiraswasta,Ada,Besar,Tembok,Keramik,Diploma I,0,7505676792278784
Fikri Gobel 008,300000,0,Lain-lain,Tidak ada,Kecil,Semi,Semen,Belum Tamat SD,6,7505429429650308
Fauzan Jalil 094,4000000,750000,Transportasi,Ada,Besar,Tembok,Semen,Diploma I,3,7505648669799394
Marlina Lihawa 051,0,200000,Tukang Kayu,Tidak ada,Kecil,Tembok/Beton,Keramik,SLTA/Sederajat,6,7505865735787251
Rizal Djafar 020,500000,200000,Nelayan,Tidak ada,Kecil,Tembok,Semen,Tamat SD,3,7505302552592620
Rahman Tuliabu 050,300000,300000,Bekerja,Tidak ada,Sedang,Tembok/Beton,Keramik,Tamat SD,7,7505939550476450
Rudi Akib 112,2500000,750000,Berdagang,Ada,Besar,Tembok,Keramik,Diploma IV/Strata I,0,7505573263925812
Fitri Mokodongan 043,900000,0,Transportasi,Tidak ada,Sangat kecil,Semi,Semen,Belum Tamat SD,3,7505662070632643
Nurlaila Pateda 143,5000000,2000000,Berdagang,Ada,Besar,Tembok/Beton,Keramik,Diploma IV/Strata I,2,7505823257490443
Deni Lihawa 140,2800000,750000,Bekerja,Ada,Besar,Tembok,Semen,Diploma IV/Strata I,2,7505633287266940
Samsul Saman 098,3500000,1500000,Wiraswasta,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,1,7505867276946498
Beni Tahir 022,1200000,500000,Berdagang,Tidak ada,Sedang,Semi,Semen,Tamat SD,4,7505569263295722
Fahri Rahim 036,900000,0,IRT,Tidak ada,Kecil,Bambu/Kayu,Semen,Tamat SD,6,7505754532922336
Zulkifli Dau 122,2000000,2500000,Berdagang,Ada,Besar,Tembok,Keramik,Diploma IV/Strata I,2,7505499247794422
Ilham Jalil 132,2500000,2000000,Bekerja,Ada,Sedang,Tembok/Beton,Keramik,Pelajar/Mahasiswa,2,7505294667313132
Dewi Daud 149,3000000,1000000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Semen,Pelajar/Mahasiswa,1,7505771513669249
Yuliana Dau 145,4000000,1000000,Transportasi,Ada,Sedang,Semi,Semen,SLTA/Sederajat,1,7505926649192845
Fauzan Botutihe 114,3000000,2500000,Wiraswasta,Ada,Besar,Tembok/Beton,Semen,Diploma I,2,7505762576958114
Rina Daud 069,1000000,200000,Lain-lain,Tidak ada,Kecil,Semi,Semen,SLTP/Sederajat,7,7505892477729769
Fahri Akib 010,300000,350000,IRT,Tidak ada,Sedang,Tembok,Semen,SLTA/Sederajat,3,7505172473678810
Ismail Lihawa 118,2800000,500000,Pegawai Negeri Sipil,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,1,7505204548982918
Murni Yusuf 087,3000000,1000000,Bekerja,Ada,Kecil,Tembok,Semen,Pelajar/Mahasiswa,3,7505831068376587
Rahman Tahir 126,2500000,500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,3,7505972763136426
Fahri Badu 088,2500000,1500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,3,7505588616817688
Ilham Yusuf 034,1500000,0,IRT,Ada,Kecil,Tembok,Tanah,SLTP/Sederajat,4,7505477622748534
Sulastri Saman 013,900000,300000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,SLTA/Sederajat,7,7505833779581813
Fatmawati Baya 003,750000,250000,Lain-lain,Tidak ada,Kecil,Bilik Bambu/Kayu,Keramik,Belum Tamat SD,4,7505535932254903
